forecast_time,track_id,ensemble_member,valid_time,lead_time,latitude,longitude,pressure,wind_speed,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2024-11-09,AL182024,0.0,2024-11-09 00:00:00,0.0,24.7,-89.7,986.0,65.0,37.03998651744491,148.15994606977964,129.6399528110572,111.11995955233472,148.15994606977964,74.07997303488982,74.07997303488982,55.55997977616736,74.07997303488982,0.0,0.0,0.0,46.29998314680613
2024-11-09,AL182024,0.0,2024-11-09 06:00:00,6.0,24.96,-90.47,982.0,70.7,30.460119247436523,162.69105529785156,136.4420166015625,102.77926635742188,135.06263732910156,54.08351135253906,42.78646469116211,28.979602813720703,44.29384994506836,16.727088928222656,12.557825088500977,9.34766674041748,13.75035285949707
2024-11-09,AL182024,0.0,2024-11-09 12:00:00,12.0,25.07,-90.83,984.3,66.8,42.03232192993164,116.4975814819336,99.51107788085938,65.89142608642578,95.17759704589844,50.12569808959961,40.27946090698242,27.369997024536133,39.86529541015625,15.195210456848145,11.298476219177246,8.272189140319824,12.029417991638184
2024-11-09,AL182024,0.0,2024-11-09 18:00:00,18.0,25.35,-91.38,992.3,58.7,40.85001754760742,144.09249877929688,118.78346252441406,84.4699935913086,118.94829559326172,65.81367492675781,55.31478500366211,39.752906799316406,54.49535369873047,19.89650154113769,15.664488792419434,11.719980239868164,16.052228927612305
2024-11-09,AL182024,0.0,2024-11-10 00:00:00,24.0,25.67,-91.29,989.2,61.0,72.0127944946289,135.2364959716797,113.6025390625,75.31658935546875,105.21687316894533,50.405887603759766,41.34087371826172,26.534927368164062,38.15789413452149,5.543529033660889,2.4318318367004395,0.7894587516784668,3.4693803787231445
2024-11-09,AL182024,0.0,2024-11-10 06:00:00,30.0,25.87,-91.67,998.4,49.1,36.51116943359375,159.50889587402344,134.99269104003906,92.72789764404295,126.12747192382812,51.47198867797852,43.779666900634766,31.8266544342041,38.982540130615234,0.0,0.0,0.0,0.0
2024-11-09,AL182024,0.0,2024-11-10 12:00:00,36.0,26.2,-91.62,1000.6,43.3,82.20220184326172,29.2275447845459,21.292648315429688,4.615808486938477,16.344188690185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,AL182024,0.0,2024-11-10 18:00:00,42.0,26.1,-91.05,1002.0,40.9,57.04990005493164,91.37310028076172,73.8022232055664,43.91104888916016,69.40038299560547,0.2957876324653625,0.0,0.0,0.3705569505691528,0.0134098147973418,0.0,0.0035937975626438,0.1611991226673126
2024-11-09,AL182024,0.0,2024-11-11 00:00:00,48.0,26.1,-90.84,1003.9,35.4,101.78938293457033,21.27963256835937,20.52817916870117,14.211089134216309,15.848325729370115,0.0,0.2774364948272705,0.4893133342266083,0.0,0.0,0.0,0.0,0.0
2024-11-09,AL182024,0.0,2024-11-11 06:00:00,54.0,26.36,-90.93,1005.8,33.9,63.67693710327149,89.7166748046875,73.50959777832031,49.29401779174805,71.71636962890625,1.0593650341033936,0.3478198647499084,0.0,0.6494588851928711,0.0140756126493215,0.0,0.0172961931675672,0.0
