forecast_time,track_id,ensemble_member,valid_time,lead_time,latitude,longitude,pressure,wind_speed,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2024-11-05 12:00:00,AL182024,0.0,2024-11-05 12:00:00,0.0,17.5,-78.3,993.0,50.0,37.03998651744491,166.6799393285021,166.6799393285021,0.0,0.0,37.03998651744491,0.0,0.0,0.0,,,,
2024-11-05 12:00:00,AL182024,0.0,2024-11-05 18:00:00,6.0,18.42,-78.89,988.7,61.5,48.85153198242188,114.00886535644533,92.30459594726562,54.29780960083008,86.07917022705078,36.22397613525391,27.88789749145508,17.184635162353516,25.66878890991211,2.0941033363342285,0.1278759688138961,0.0,0.9045200347900392
2024-11-05 12:00:00,AL182024,0.0,2024-11-06 00:00:00,12.0,19.44,-79.75,975.6,79.8,14.7477388381958,110.63107299804688,88.36294555664062,59.223140716552734,83.45751190185547,45.90642929077149,36.42721939086914,23.28305625915528,37.01122283935547,17.457229614257812,12.89964485168457,9.418448448181152,14.088553428649902
2024-11-05 12:00:00,AL182024,0.0,2024-11-06 06:00:00,18.0,20.16,-80.83,965.1,95.0,23.964643478393555,122.10738372802734,102.27824401855467,58.28677368164063,92.45550537109376,49.56923675537109,39.10186004638672,25.648496627807617,38.21290969848633,19.781795501708984,14.901226997375488,11.499780654907228,16.31907844543457
2024-11-05 12:00:00,AL182024,0.0,2024-11-06 12:00:00,24.0,21.05,-81.47,969.5,87.6,29.54972076416016,133.27767944335938,112.20659637451172,71.70040893554688,102.9687728881836,63.92332077026367,51.94483184814453,37.18011093139648,53.199684143066406,32.42823791503906,26.574050903320312,20.82064437866211,27.20380210876465
2024-11-05 12:00:00,AL182024,0.0,2024-11-06 18:00:00,30.0,22.41,-82.46,969.7,88.8,38.91524887084961,128.97369384765625,110.89096069335938,58.53125,97.60423278808594,56.962215423583984,45.41285705566406,30.081737518310547,45.98486709594727,25.239410400390625,19.605632781982425,14.872846603393556,20.75008201599121
2024-11-05 12:00:00,AL182024,0.0,2024-11-07 00:00:00,36.0,22.97,-83.35,974.7,79.0,41.30360412597656,166.69557189941406,140.59115600585938,92.60578918457033,137.42745971679688,79.20221710205078,65.94149780273438,48.90631484985352,66.84136962890625,38.85169982910156,32.641929626464844,25.84711265563965,32.505470275878906
2024-11-05 12:00:00,AL182024,0.0,2024-11-07 06:00:00,42.0,23.93,-84.27,984.1,69.7,33.81023025512695,126.09809112548828,98.7029800415039,56.36530685424805,95.5566635131836,53.52766418457031,41.77987289428711,27.45345497131348,42.13140869140625,20.50054168701172,15.99796199798584,11.328946113586426,16.42336082458496
2024-11-05 12:00:00,AL182024,0.0,2024-11-07 12:00:00,48.0,24.41,-85.21,982.1,69.9,55.30063629150391,194.09393310546875,157.86924743652344,101.8657684326172,160.2870635986328,91.60609436035156,75.1595687866211,55.70869064331055,76.66355895996094,39.424434661865234,33.05142974853516,26.073610305786133,32.9150276184082
2024-11-05 12:00:00,AL182024,0.0,2024-11-07 18:00:00,54.0,24.82,-86.04,978.7,78.2,15.937613487243652,119.98489379882812,90.42911529541016,60.95845413208008,95.77886199951172,53.38527297973633,41.72987747192383,28.6281852722168,43.51084518432617,21.24692916870117,16.429353713989258,12.596039772033691,17.47005844116211
2024-11-05 12:00:00,AL182024,0.0,2024-11-08 00:00:00,60.0,24.74,-86.75,982.4,70.9,28.60304832458496,185.3448944091797,143.89083862304688,108.6760711669922,160.85386657714844,97.23892211914062,81.90316009521484,64.25738525390625,85.00099182128906,48.72942733764648,42.29317474365234,33.864295959472656,41.54262924194336
2024-11-05 12:00:00,AL182024,0.0,2024-11-08 06:00:00,66.0,24.91,-88.06,976.4,77.5,34.69718933105469,154.1598358154297,127.56146240234376,94.91935729980467,133.731689453125,65.77436828613281,51.97175598144531,38.4460563659668,54.94563293457031,25.396404266357425,20.317401885986328,16.021791458129883,21.50595474243164
2024-11-05 12:00:00,AL182024,0.0,2024-11-08 12:00:00,72.0,24.98,-88.52,979.4,74.0,48.90635681152344,167.96682739257812,130.23619079589844,92.78829193115234,139.85475158691406,73.47390747070312,58.96890258789063,42.352046966552734,60.68238067626953,25.423473358154297,19.760927200317383,15.453397750854492,20.979961395263672
2024-11-05 12:00:00,AL182024,0.0,2024-11-08 18:00:00,78.0,24.98,-89.49,972.2,83.6,34.19345474243164,146.81289672851562,115.7060775756836,83.67284393310547,122.07889556884766,66.92903900146484,54.072078704833984,40.69563674926758,56.71327972412109,28.943294525146484,23.93050575256348,19.380033493041992,24.815080642700195
2024-11-05 12:00:00,AL182024,0.0,2024-11-09 00:00:00,84.0,25.42,-90.12,979.2,78.0,36.84161376953125,125.9925765991211,99.42274475097656,62.74435424804688,102.5219268798828,56.94987106323242,44.96264266967773,30.729888916015625,47.11460113525391,25.33401298522949,20.02450561523437,15.393498420715332,20.990310668945312
2024-11-05 12:00:00,AL182024,0.0,2024-11-09 06:00:00,90.0,25.97,-91.03,984.9,67.1,23.837217330932617,89.89879608154297,66.81019592285156,39.889122009277344,67.19567108154297,33.05140686035156,23.832469940185547,13.743563652038574,24.510372161865234,7.915983200073242,4.918533802032471,2.8196568489074707,5.965286731719971
2024-11-05 12:00:00,AL182024,0.0,2024-11-09 12:00:00,96.0,26.63,-91.64,990.3,61.2,71.98020935058594,140.4568634033203,113.61434173583984,69.65110778808594,111.77000427246094,54.77315139770508,43.14833831787109,27.92910385131836,42.02149963378906,10.96550178527832,6.840994834899902,4.0721845626831055,7.897459030151367
2024-11-05 12:00:00,AL182024,0.0,2024-11-09 18:00:00,102.0,27.26,-92.31,995.2,51.3,94.11569213867188,133.67784118652344,110.2942886352539,70.55152130126953,102.55826568603516,40.3633918762207,34.11350631713867,24.37518310546875,29.82246208190918,0.0,0.0,0.0,0.0
2024-11-05 12:00:00,AL182024,0.0,2024-11-10 00:00:00,108.0,28.05,-92.84,996.4,48.9,60.016143798828125,101.36249542236328,83.08235931396484,45.740421295166016,74.30364227294922,2.88907241821289,0.8533364534378052,0.0,0.694027841091156,0.1830904483795166,0.0,0.0,0.1763020157814026
2024-11-05 12:00:00,AL182024,0.0,2024-11-10 06:00:00,114.0,28.89,-92.52,998.5,43.1,109.72483825683594,130.1291961669922,121.90887451171876,91.08216094970705,104.9237823486328,1.0539610385894775,0.2411397993564605,0.0,0.0,0.1722622662782669,0.0058670006692409,0.0,0.0816310346126556
2024-11-05 12:00:00,AL182024,0.0,2024-11-10 12:00:00,120.0,30.45,-91.23,1004.0,32.7,87.3541030883789,62.715126037597656,49.21640396118164,24.665998458862305,40.593353271484375,1.5417582988739014,0.579587459564209,0.0,0.033067874610424,0.2433842122554779,0.1418336629867553,0.0544155277311801,0.1843112111091613
2024-11-05 12:00:00,AL182024,0.0,2024-11-10 18:00:00,126.0,30.93,-90.2,1007.8,28.7,91.29216766357422,16.911617279052734,11.018178939819336,0.0,5.62186861038208,0.3533930778503418,0.0487916357815265,0.0,0.0,0.0,0.1950435489416122,0.260111004114151,0.037844955921173
2024-11-05 12:00:00,AL182024,0.0,2024-11-11 00:00:00,132.0,30.97,-88.21,1005.5,30.1,73.4349594116211,0.8973497152328491,6.127089977264404,0.0,0.0,0.0771450623869896,0.9270012974739076,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05 12:00:00,AL182024,0.0,2024-11-11 06:00:00,138.0,31.41,-88.91,1008.9,23.5,53.51938629150391,11.74744987487793,6.249297142028809,0.0,6.613864898681641,0.0052747330628335,0.0797795876860618,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05 12:00:00,AL182024,0.0,2024-11-11 12:00:00,144.0,32.3,-86.77,1014.0,16.2,123.8952178955078,2.1296803951263428,0.0,0.0,1.811631202697754,0.8414031863212585,0.0,0.0,0.4813276827335357,0.2048249691724777,0.0,0.0,0.2341347932815551
2024-11-05 12:00:00,AL182024,1.0,2024-11-05 12:00:00,0.0,17.5,-78.3,993.0,50.0,37.03998651744491,166.6799393285021,166.6799393285021,0.0,0.0,37.03998651744491,0.0,0.0,0.0,,,,
2024-11-05 12:00:00,AL182024,1.0,2024-11-05 18:00:00,6.0,18.39,-78.97,993.5,51.9,24.612525939941406,84.80917358398438,66.80586242675781,35.58451461791992,61.492305755615234,21.22258949279785,15.901942253112791,8.93198013305664,14.573267936706545,0.474949836730957,0.0,0.0,0.0
2024-11-05 12:00:00,AL182024,1.0,2024-11-06 00:00:00,12.0,19.47,-79.78,987.4,64.0,39.2718620300293,132.1785888671875,111.76575469970705,71.7540512084961,109.1698760986328,54.06570053100586,43.85952377319336,30.043926239013672,42.528438568115234,17.851743698120117,13.596821784973145,10.05642032623291,14.071927070617676
2024-11-05 12:00:00,AL182024,1.0,2024-11-06 06:00:00,18.0,20.08,-80.66,969.9,84.4,47.8919563293457,122.52101135253906,101.0709991455078,68.66961669921875,95.18395233154295,44.82186126708984,36.20180892944336,24.99565315246582,35.3447380065918,17.75933837890625,13.842604637145996,11.09482192993164,14.856817245483398
2024-11-05 12:00:00,AL182024,1.0,2024-11-06 12:00:00,24.0,21.28,-81.55,977.8,75.5,33.126102447509766,147.08975219726562,119.80974578857422,78.69175720214844,118.02393341064452,74.01911163330078,60.98710632324219,45.18339538574219,63.0532455444336,38.89816665649414,32.95861053466797,25.62474632263184,32.66089630126953
2024-11-05 12:00:00,AL182024,1.0,2024-11-06 18:00:00,30.0,22.34,-82.53,957.0,103.4,15.741787910461426,125.24241638183594,108.041259765625,70.4543228149414,99.84546661376952,58.261043548583984,48.335880279541016,34.482513427734375,49.75474166870117,29.389965057373047,23.57123374938965,19.520801544189453,25.33243751525879
2024-11-05 12:00:00,AL182024,1.0,2024-11-07 00:00:00,36.0,23.09,-83.09,974.9,76.7,41.8206672668457,142.2782745361328,123.02328491210938,79.09453582763672,111.59195709228516,62.5463752746582,51.52840423583984,36.0162467956543,50.89897918701172,25.79014587402344,20.82163619995117,15.998987197875977,21.272186279296875
2024-11-05 12:00:00,AL182024,1.0,2024-11-07 06:00:00,42.0,24.03,-84.17,980.1,72.5,27.960220336914062,183.04916381835932,153.98150634765625,111.35274505615234,152.33436584472656,80.49446868896484,67.32867431640625,50.884986877441406,68.38006591796875,38.32194519042969,33.0344123840332,25.927040100097656,32.41429901123047
2024-11-05 12:00:00,AL182024,1.0,2024-11-07 12:00:00,48.0,24.44,-85.11,981.0,69.9,53.18861770629883,204.099609375,171.32064819335938,126.88622283935548,176.6309051513672,108.70378112792967,93.92825317382812,75.79553985595703,95.35787200927734,56.80060577392578,50.82882690429688,41.0946159362793,48.926944732666016
2024-11-05 12:00:00,AL182024,1.0,2024-11-07 18:00:00,54.0,24.62,-85.7,976.6,76.1,42.66518783569336,171.75634765625,137.37762451171875,103.869384765625,141.0664825439453,78.38314819335938,64.95856475830078,49.5687370300293,66.61363983154297,33.187522888183594,28.08713150024414,22.35567283630371,28.335433959960938
2024-11-05 12:00:00,AL182024,1.0,2024-11-08 00:00:00,60.0,24.79,-87.07,973.6,82.5,22.97654151916504,170.06776428222656,132.3282928466797,92.41252136230467,142.6246795654297,75.14677429199219,59.97529220581055,43.767669677734375,63.265045166015625,30.998374938964844,25.224609375,19.949811935424805,26.29331398010254
2024-11-05 12:00:00,AL182024,1.0,2024-11-08 06:00:00,66.0,24.76,-88.02,980.6,74.3,68.18679809570312,175.16529846191406,141.0030975341797,104.88497924804688,153.14559936523438,89.34988403320312,73.40476989746094,56.42543411254883,76.97956085205078,41.238765716552734,34.6404914855957,27.67599105834961,35.03135681152344
2024-11-05 12:00:00,AL182024,1.0,2024-11-08 12:00:00,72.0,24.83,-88.62,960.3,98.6,26.96872329711914,169.59207153320312,138.74240112304688,100.9660415649414,143.4551544189453,85.11382293701172,72.16278839111328,58.19416046142578,74.33988952636719,46.79105758666992,40.95246887207031,34.13437271118164,40.86134719848633
2024-11-05 12:00:00,AL182024,1.0,2024-11-08 18:00:00,78.0,24.91,-88.92,963.5,95.6,22.08434295654297,132.08119201660156,105.82264709472656,73.60252380371094,110.44587707519533,59.22216033935547,47.96699523925781,36.176048278808594,50.5089225769043,26.61103057861328,21.85224151611328,18.120302200317383,23.42216110229492
2024-11-05 12:00:00,AL182024,1.0,2024-11-09 00:00:00,84.0,25.9,-89.3,970.1,88.7,36.78295516967773,144.89389038085938,121.20529174804688,67.59146118164062,110.2606201171875,62.50381088256836,50.45804214477539,34.243507385253906,49.80025863647461,29.16695022583008,23.57707595825196,18.173471450805664,24.06617927551269
2024-11-05 12:00:00,AL182024,1.0,2024-11-09 06:00:00,90.0,26.36,-89.83,973.5,79.8,49.79337310791016,200.23776245117188,176.8624267578125,133.45333862304688,164.49537658691406,76.99652862548828,64.54986572265625,48.5020866394043,64.49788665771484,39.90628433227539,34.38363265991211,27.57297706604004,33.855125427246094
2024-11-05 12:00:00,AL182024,1.0,2024-11-09 12:00:00,96.0,27.21,-89.82,977.4,78.6,17.90615463256836,147.21945190429688,135.2928009033203,84.55276489257812,125.14643096923828,81.84691619873047,71.13001251220703,57.63945007324219,71.45574188232422,52.70610046386719,47.53783416748047,38.90771865844727,45.2987174987793
2024-11-05 12:00:00,AL182024,1.0,2024-11-09 18:00:00,102.0,27.82,-90.08,981.5,71.8,32.483985900878906,135.36187744140625,115.10508728027344,86.86111450195312,115.70865631103516,75.68084716796875,64.76262664794922,50.51620101928711,66.01560974121094,40.2271842956543,35.0128288269043,28.27269554138184,34.1427116394043
2024-11-05 12:00:00,AL182024,1.0,2024-11-10 00:00:00,108.0,28.98,-90.02,987.1,63.9,68.56217193603516,136.46339416503906,117.16028594970705,77.00883483886719,106.70661163330078,54.89926528930664,44.205657958984375,28.04893493652344,42.03996276855469,10.097186088562012,6.134817123413086,3.2569448947906494,7.112834930419922
2024-11-05 12:00:00,AL182024,1.0,2024-11-10 06:00:00,114.0,29.74,-89.93,996.0,55.0,64.10189819335938,236.38699340820312,208.19873046875,139.05154418945312,185.2775421142578,82.77882385253906,72.22772979736328,52.38157653808594,64.16065979003906,1.0249137878417969,0.0,0.0,0.3030263185501098
2024-11-05 12:00:00,AL182024,1.0,2024-11-10 12:00:00,120.0,30.79,-89.45,1001.3,40.6,74.44171905517578,27.33707046508789,20.13317108154297,1.2604973316192627,10.831744194030762,0.9552330374717712,0.0,0.0,0.0,0.2073706835508346,0.1310780197381973,0.0,0.0175487324595451
2024-11-05 12:00:00,AL182024,1.0,2024-11-10 18:00:00,126.0,31.73,-87.73,1008.8,25.7,95.28836822509766,21.619489669799805,14.99557876586914,2.209730863571167,9.051717758178713,1.4359413385391235,1.205428957939148,0.5099698305130005,0.7941151261329651,0.0478193573653698,0.0,0.0222469773143529,0.0673148110508918
2024-11-05 12:00:00,AL182024,1.0,2024-11-11 00:00:00,132.0,32.69,-85.94,1010.7,19.0,106.97086334228516,3.487144470214844,6.123705387115479,0.0,0.0,0.3702748417854309,1.199185132980347,0.7698159217834473,0.6714134216308594,0.0,0.0,0.0,0.0
2024-11-05 12:00:00,AL182024,1.0,2024-11-11 06:00:00,138.0,32.8,-83.18,1008.8,22.5,183.81529235839844,0.0,0.6718330383300781,0.397357314825058,0.0,0.0,0.0,0.0,0.0835109651088714,0.0,0.0,0.0,0.1328188925981521
