forecast_time,track_id,ensemble_member,valid_time,lead_time,latitude,longitude,pressure,wind_speed,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2024-11-06 12:00:00,AL182024,0.0,2024-11-06 12:00:00,0.0,21.0,-81.6,964.0,90.0,18.51999325872245,185.1999325872245,148.15994606977964,74.07997303488982,92.59996629361228,74.07997303488982,37.03998651744491,37.03998651744491,46.29998314680613,27.77998988808368,27.77998988808368,18.51999325872245,18.51999325872245
2024-11-06 12:00:00,AL182024,0.0,2024-11-06 18:00:00,6.0,22.05,-82.29,947.6,113.1,33.561614990234375,150.9821014404297,128.80357360839844,85.86266326904297,127.77920532226562,73.32181549072266,60.73779296875,47.20941162109375,63.31793212890625,41.2734260559082,34.98569869995117,29.55848503112793,36.25529098510742
2024-11-06 12:00:00,AL182024,0.0,2024-11-07 00:00:00,12.0,22.78,-83.12,960.7,98.5,44.034454345703125,167.0047607421875,141.03172302246094,94.9315414428711,134.28749084472656,80.6324691772461,66.58411407470703,48.35795974731445,68.70203399658203,40.97233581542969,33.72976303100586,27.152572631835938,34.855567932128906
2024-11-06 12:00:00,AL182024,0.0,2024-11-07 06:00:00,18.0,23.91,-83.98,967.6,91.3,17.850000381469727,152.41107177734375,125.6387710571289,87.33551788330078,125.9365005493164,71.15044403076172,57.286903381347656,41.37796401977539,60.27559280395508,39.781715393066406,33.15048599243164,25.9769287109375,33.69602584838867
2024-11-06 12:00:00,AL182024,0.0,2024-11-07 12:00:00,24.0,24.49,-84.98,978.4,78.5,29.16163825988769,160.81875610351562,129.77049255371094,87.60516357421875,132.31924438476562,86.68536376953125,71.7234878540039,55.31708908081055,75.70689392089844,50.179325103759766,43.67647933959961,34.41898727416992,42.99068069458008
2024-11-06 12:00:00,AL182024,0.0,2024-11-07 18:00:00,30.0,24.63,-85.83,975.4,81.1,27.307601928710938,148.07920837402344,116.15901947021484,82.18831634521484,123.90031433105467,72.74405670166016,58.152339935302734,43.54166793823242,62.6413688659668,36.96152114868164,31.22914695739746,24.485595703125,31.552642822265625
2024-11-06 12:00:00,AL182024,0.0,2024-11-08 00:00:00,36.0,24.49,-86.92,976.3,77.4,31.26635932922364,134.84693908691406,104.03478240966795,80.98657989501953,118.83834838867188,67.28925323486328,54.871917724609375,43.89901351928711,59.73249816894531,36.77544403076172,32.03717041015625,26.04593086242676,32.15028762817383
2024-11-06 12:00:00,AL182024,0.0,2024-11-08 06:00:00,42.0,24.43,-87.99,985.7,63.9,75.76927185058594,194.8247528076172,156.50807189941406,120.3825225830078,170.874267578125,87.45975494384766,71.57260131835938,55.12271881103516,74.93082427978516,37.855716705322266,32.211334228515625,25.587778091430664,32.24660873413086
2024-11-06 12:00:00,AL182024,0.0,2024-11-08 12:00:00,48.0,24.34,-88.64,981.4,72.0,58.203392028808594,169.81581115722656,138.7379913330078,104.03568267822266,154.7166290283203,90.56465911865234,77.36881256103516,64.6348648071289,81.14625549316406,51.30623626708984,46.38312911987305,38.46914291381836,44.879581451416016
2024-11-06 12:00:00,AL182024,0.0,2024-11-08 18:00:00,54.0,24.4,-89.63,977.0,78.5,49.16893005371094,121.0903091430664,97.0912628173828,66.07250213623047,102.58091735839844,61.14450073242188,47.82538604736328,36.65188980102539,51.82463455200195,30.17721366882324,25.43028259277344,20.103525161743164,26.12485313415528
