forecast_time,track_id,ensemble_member,valid_time,lead_time,latitude,longitude,pressure,wind_speed,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2024-11-04 12:00:00,AL182024,38.0,2024-11-11 18:00:00,174.0,32.43,-88.26,1009.0,27.0,226.9869842529297,1.0782253742218018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609578527510166,0.0
2024-11-04 12:00:00,AL182024,39.0,2024-11-04 12:00:00,0.0,14.8,-76.6,1003.0,30.0,129.6399528110572,,,,,,,,,,,,
2024-11-04 12:00:00,AL182024,39.0,2024-11-04 18:00:00,6.0,15.22,-77.15,1001.9,33.2,82.25270080566406,43.21132278442383,34.86744689941406,21.165781021118164,31.795703887939453,0.0,0.0,0.0,0.0,0.0742475464940071,0.0,0.0790963992476463,0.0281887184828519
2024-11-04 12:00:00,AL182024,39.0,2024-11-05 00:00:00,12.0,15.78,-77.01,999.7,42.0,116.55662536621094,142.0901641845703,128.18905639648438,91.12433624267578,110.28618621826172,1.0469226837158203,0.0392016060650348,0.0,0.1176977381110191,0.1470187753438949,0.0,0.0311855543404817,0.1279984265565872
2024-11-04 12:00:00,AL182024,39.0,2024-11-05 06:00:00,18.0,16.45,-77.75,995.0,51.2,79.9548568725586,112.08344268798828,101.17697143554688,65.5163345336914,87.21451568603516,3.868942260742188,2.579092264175415,0.0,1.4341826438903809,0.173093557357788,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,39.0,2024-11-05 12:00:00,24.0,17.78,-78.62,990.5,60.9,45.070159912109375,143.6490478515625,121.09957885742188,79.93575286865234,117.5035629272461,52.70384216308594,41.96358489990234,28.336885452270508,40.59442138671875,6.95013427734375,4.400964736938477,2.1219282150268555,5.360958099365234
2024-11-04 12:00:00,AL182024,39.0,2024-11-05 18:00:00,30.0,18.89,-79.66,978.6,78.0,44.13245391845703,150.12669372558594,120.72660064697266,65.2461929321289,114.6414794921875,58.38933181762695,42.73843002319336,27.018733978271484,44.60553359985352,15.44963264465332,10.259841918945312,6.749735355377197,12.40260887145996
2024-11-04 12:00:00,AL182024,39.0,2024-11-06 00:00:00,36.0,19.92,-80.59,974.8,80.5,18.60908317565918,131.24993896484375,103.73077392578124,56.62345504760742,101.47005462646484,53.24996948242188,38.7148323059082,24.45799827575684,42.11858367919922,20.399303436279297,14.73117733001709,10.577960968017578,17.1314697265625
2024-11-04 12:00:00,AL182024,39.0,2024-11-06 06:00:00,42.0,20.96,-81.71,958.0,100.9,22.398792266845703,146.8524169921875,119.59774780273438,64.58944702148438,115.21537017822266,60.66497421264648,43.10689163208008,28.005630493164062,50.08553314208984,35.765953063964844,27.495014190673828,20.94147682189941,30.84415626525879
2024-11-04 12:00:00,AL182024,39.0,2024-11-06 12:00:00,48.0,22.06,-82.77,967.2,90.8,26.554887771606445,177.39695739746094,143.857421875,87.83142852783203,140.97378540039062,74.1563720703125,56.10844039916992,37.24712753295898,60.81455612182617,35.653541564941406,27.485445022583008,20.358884811401367,30.12865829467773
2024-11-04 12:00:00,AL182024,39.0,2024-11-06 18:00:00,54.0,23.04,-83.37,976.2,76.2,27.942359924316406,170.3924102783203,140.09051513671875,82.07855987548828,135.67242431640625,74.32756805419922,56.530029296875,37.89242172241211,59.55651473999024,24.665042877197266,17.82135009765625,12.506793022155762,20.41041374206543
2024-11-04 12:00:00,AL182024,39.0,2024-11-07 00:00:00,60.0,23.89,-84.01,975.9,80.4,42.014556884765625,130.8577880859375,109.33223724365234,60.30337142944336,99.14239501953124,44.39500427246094,32.027626037597656,19.387561798095703,33.92383575439453,9.521199226379396,5.304837703704834,2.5456674098968506,7.943954467773437
2024-11-04 12:00:00,AL182024,39.0,2024-11-07 06:00:00,66.0,24.68,-84.91,977.1,75.8,22.141902923583984,155.8290557861328,134.0240478515625,82.51961517333984,125.12527465820312,63.36515045166016,49.05063629150391,32.98917007446289,50.00727844238281,17.54323959350586,12.483022689819336,8.276611328125,14.50084114074707
2024-11-04 12:00:00,AL182024,39.0,2024-11-07 12:00:00,72.0,24.95,-85.3,976.4,77.7,22.994104385375977,141.156005859375,118.6922607421875,74.73216247558594,113.87686157226562,52.65793228149414,40.242557525634766,26.89883041381836,41.7569580078125,11.832618713378906,7.589224815368652,4.729728698730469,9.87354850769043
2024-11-04 12:00:00,AL182024,39.0,2024-11-07 18:00:00,78.0,25.01,-85.83,960.1,101.5,17.778980255126953,214.44227600097656,214.30587768554688,166.0791473388672,181.70391845703125,101.06578826904295,99.5572738647461,83.08212280273438,85.16807556152344,44.391700744628906,44.408912658691406,39.01634979248047,38.98362350463867
2024-11-04 12:00:00,AL182024,39.0,2024-11-08 00:00:00,84.0,25.33,-85.76,967.2,91.2,56.70336532592773,237.91221618652344,204.3680725097656,151.37237548828125,202.1493988037109,105.43185424804688,90.33414459228516,69.53856658935547,90.57044219970705,47.11129379272461,41.03477478027344,32.812313079833984,40.99160003662109
2024-11-04 12:00:00,AL182024,39.0,2024-11-08 06:00:00,90.0,25.15,-86.55,974.5,76.4,25.39256858825684,206.7875518798828,170.8484649658203,128.42605590820312,182.94723510742188,99.8190689086914,82.62586975097656,63.22146224975586,84.69696044921875,36.83730697631836,30.33157157897949,23.81628799438477,31.61392593383789
2024-11-04 12:00:00,AL182024,39.0,2024-11-08 12:00:00,96.0,25.17,-86.96,978.3,71.8,51.23239135742188,217.06088256835932,181.46664428710932,139.63568115234375,191.93130493164065,106.35394287109376,90.93526458740234,71.40472412109375,90.43360900878906,38.76103210449219,33.54986572265625,26.8542709350586,33.38683319091797
2024-11-04 12:00:00,AL182024,39.0,2024-11-08 18:00:00,102.0,25.12,-87.94,984.4,65.7,61.65270233154297,171.38697814941406,141.04771423339844,100.03166961669922,141.6800537109375,63.70172119140625,50.52798080444336,36.44181060791016,50.940208435058594,13.950632095336914,9.974199295043944,6.967160224914551,11.54943561553955
2024-11-04 12:00:00,AL182024,39.0,2024-11-09 00:00:00,108.0,25.86,-88.3,981.9,69.6,41.02431869506836,217.7287139892578,184.02700805664065,132.60145568847656,189.9114532470703,107.4634246826172,91.62106323242188,70.88111877441406,90.25299072265624,39.26261520385742,34.545684814453125,27.39508438110352,33.64714050292969
2024-11-04 12:00:00,AL182024,39.0,2024-11-09 06:00:00,114.0,25.94,-89.23,986.9,67.5,91.03611755371094,194.12745666503903,164.10525512695312,111.53595733642578,159.0460662841797,71.3105697631836,57.79164123535156,40.44563674926758,55.3431396484375,8.368836402893066,5.038797378540039,2.916354894638061,6.362215042114258
2024-11-04 12:00:00,AL182024,39.0,2024-11-09 12:00:00,120.0,26.55,-89.81,988.7,62.9,88.07066345214844,235.11676025390625,201.6439819335937,142.77963256835938,196.2871551513672,104.3524932861328,88.41651153564453,66.2554702758789,83.7937240600586,17.046560287475586,13.830339431762695,10.058486938476562,14.051924705505373
2024-11-04 12:00:00,AL182024,39.0,2024-11-09 18:00:00,126.0,27.47,-89.65,989.9,59.0,44.63753890991211,234.3266448974609,203.01026916503903,139.89634704589844,193.73165893554688,105.54845428466795,91.1523895263672,68.3603744506836,85.99800109863281,25.806018829345703,22.525671005249023,17.12882423400879,21.75030899047852
2024-11-04 12:00:00,AL182024,39.0,2024-11-10 00:00:00,132.0,27.54,-90.13,992.5,53.8,60.84905242919922,203.64930725097656,183.97970581054688,130.41506958007812,161.73875427246094,7.901201248168945,5.3562541007995605,1.1312334537506104,4.474016189575195,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,39.0,2024-11-10 06:00:00,138.0,28.64,-90.06,996.4,50.4,127.93325805664062,167.11422729492188,149.83233642578125,100.02613067626952,125.84130859375,3.616041660308838,1.1983375549316406,0.0,1.146047592163086,0.1827325075864792,0.0333578698337078,0.0,0.0848076269030571
2024-11-04 12:00:00,AL182024,39.0,2024-11-10 12:00:00,144.0,29.94,-89.11,998.0,38.4,65.92864227294922,76.41056823730469,69.74101257324219,40.43667984008789,49.92456817626953,0.5519310832023621,0.0539490766823291,0.0,0.3611673712730407,0.3261963725090027,0.0142161482945084,0.0,0.3078280091285705
2024-11-04 12:00:00,AL182024,39.0,2024-11-10 18:00:00,150.0,31.4,-87.91,999.6,36.8,66.72029876708984,59.8968391418457,57.66754150390625,35.493072509765625,40.29281234741211,0.4479604661464691,1.438415765762329,0.0084683764725923,0.9258023500442504,0.0,0.005576410330832,0.0017011519521474,0.1369745731353759
2024-11-04 12:00:00,AL182024,39.0,2024-11-11 00:00:00,156.0,31.45,-86.4,1005.7,24.0,58.57780838012695,0.0,3.346231937408448,0.0,0.0,0.0652926415205001,0.5415304899215698,0.0,0.1801568120718002,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,39.0,2024-11-11 06:00:00,162.0,32.61,-86.0,1007.7,23.6,173.78201293945312,0.0,1.471160650253296,0.0,0.0,0.0,0.0,0.2960204482078552,0.0,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-04 12:00:00,0.0,14.8,-76.6,1003.0,30.0,129.6399528110572,,,,,,,,,,,,
2024-11-04 12:00:00,AL182024,40.0,2024-11-04 18:00:00,6.0,15.1,-76.8,1003.6,30.4,132.358642578125,6.471994400024414,2.3671836853027344,0.0,1.4430346488952637,0.0289806723594665,0.0,0.2334541827440261,0.3114892542362213,0.0587091222405433,0.0,0.0934549644589424,0.0297572501003742
2024-11-04 12:00:00,AL182024,40.0,2024-11-05 00:00:00,12.0,15.58,-77.19,996.5,45.2,49.92779922485352,113.42518615722656,102.42025756835938,71.07511138916016,90.89639282226562,6.6878275871276855,4.814035892486572,1.9801585674285889,4.217278957366943,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-05 06:00:00,18.0,16.45,-77.71,995.1,53.9,81.80852508544922,139.63400268554688,125.1928482055664,85.57557678222656,112.08193969726562,20.95877265930176,17.320823669433594,10.250593185424805,15.030840873718262,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-05 12:00:00,24.0,17.8,-78.88,997.7,44.2,49.03923034667969,110.9264144897461,99.36377716064452,67.1597900390625,88.01930236816406,9.064892768859863,7.366662979125977,3.2286977767944336,5.864583015441895,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-05 18:00:00,30.0,18.75,-80.31,994.4,50.8,45.92892456054688,134.91220092773438,120.34735107421876,80.74916076660156,104.68614196777344,17.02794647216797,13.81148910522461,8.047406196594238,11.810288429260254,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-06 00:00:00,36.0,19.86,-81.16,988.7,65.3,54.69985580444336,96.2548370361328,81.5872573852539,45.38777923583984,75.67516326904297,23.7324275970459,17.100175857543945,8.347076416015625,16.88014030456543,1.757567048072815,0.0253929030150175,0.0,1.2349095344543457
2024-11-04 12:00:00,AL182024,40.0,2024-11-06 06:00:00,42.0,20.8,-82.24,993.5,56.6,68.89678955078125,114.98811340332033,92.65432739257812,54.6575813293457,90.22802734375,44.11978149414063,34.0482063293457,20.921123504638672,33.421810150146484,7.081082344055176,4.125620365142822,1.89435613155365,5.355452060699463
2024-11-04 12:00:00,AL182024,40.0,2024-11-06 12:00:00,48.0,21.88,-82.76,978.9,78.0,38.99941635131836,113.84693908691406,94.00772094726562,45.86978912353516,79.15510559082031,43.5539665222168,30.308006286621094,17.01204490661621,33.845645904541016,20.160728454589844,13.631875991821287,9.017083168029783,16.838598251342773
2024-11-04 12:00:00,AL182024,40.0,2024-11-06 18:00:00,54.0,23.28,-83.55,988.9,60.2,53.44369888305664,113.7717742919922,105.27739715576172,57.54864883422852,83.82581329345703,26.399253845214844,21.05024719238281,11.137660026550291,17.747587203979492,0.4900899231433868,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-07 00:00:00,60.0,24.22,-83.89,992.3,54.8,38.003902435302734,170.74215698242188,160.2736053466797,104.00231170654295,131.59901428222656,29.85576438903809,25.181137084960938,15.255228996276855,20.751914978027344,0.2043031603097915,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-07 06:00:00,66.0,25.7,-84.36,990.6,59.5,90.76759338378906,204.77296447753903,184.993881225586,122.84626007080078,160.01571655273438,67.18366241455078,57.37647247314453,39.97507095336914,50.08052062988281,0.800530195236206,0.20074562728405,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-07 12:00:00,72.0,26.36,-84.66,989.6,56.0,35.332183837890625,158.22946166992188,137.21340942382812,87.06287384033203,125.37474822998048,72.70323944091797,59.71796417236328,41.76187515258789,57.74748229980469,15.101716995239258,11.172507286071776,7.333372592926025,12.02352237701416
2024-11-04 12:00:00,AL182024,40.0,2024-11-07 18:00:00,78.0,27.12,-84.4,986.3,62.8,48.69011688232422,96.1649398803711,92.63825225830078,51.338809967041016,67.16111755371094,8.704474449157715,7.597983837127685,2.5124144554138184,4.474246025085449,0.058963868767023,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-08 00:00:00,84.0,27.27,-84.73,984.3,62.0,42.86077499389648,99.41712188720705,93.23368072509766,63.882694244384766,82.28118896484375,21.00269317626953,17.732038497924805,11.593228340148926,16.305524826049805,1.0173470973968506,0.3269725739955902,0.0,1.2680824995040894
2024-11-04 12:00:00,AL182024,40.0,2024-11-08 06:00:00,90.0,27.0,-85.32,993.7,50.4,75.81665802001953,127.7997589111328,109.05320739746094,78.59861755371094,107.44910430908205,1.577568292617798,0.0,0.0,0.2489161640405655,0.1597994565963745,0.0094762714579701,0.0010663185967132,0.1937145143747329
2024-11-04 12:00:00,AL182024,40.0,2024-11-08 12:00:00,96.0,26.79,-85.96,993.4,52.8,42.96646881103516,197.8205108642578,175.42721557617188,129.74148559570312,170.45608520507812,37.68857192993164,31.880102157592773,21.91634178161621,28.858688354492188,0.0,0.0,0.0,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-08 18:00:00,102.0,27.25,-86.57,997.4,43.5,109.3035125732422,166.5659637451172,146.83241271972656,112.4947280883789,135.8681182861328,0.3327345550060272,0.0,0.0,0.0,0.2989477515220642,0.2760095000267029,0.1144843995571136,0.247167095541954
2024-11-04 12:00:00,AL182024,40.0,2024-11-09 00:00:00,108.0,27.0,-86.76,1000.5,43.3,110.1220474243164,62.06248474121094,54.03152084350586,36.80377578735352,49.474891662597656,0.0,0.0,0.0,0.0,0.1341605335474014,0.0,0.0407498255372047,0.034485574811697
2024-11-04 12:00:00,AL182024,40.0,2024-11-09 06:00:00,114.0,27.27,-87.13,1001.3,38.6,80.2518310546875,89.07025146484375,73.58893585205078,53.80879974365234,68.55945587158203,0.0,0.0,0.0,0.0,0.0671024397015571,0.1001888960599899,0.0985834300518035,0.0
2024-11-04 12:00:00,AL182024,40.0,2024-11-09 12:00:00,120.0,27.84,-87.67,1003.1,40.5,142.73748779296875,80.79156494140625,70.43034362792969,49.11608123779297,62.81071090698242,0.2106586545705795,0.0,0.0,0.0,0.0366384349763393,0.0,0.0390044152736663,0.0
